pl_name,discoverymethod,disc_facility,pl_rade,pl_eqt,st_teff
"HD 181433 d","Radial Velocity","La Silla Observatory",,,4962.00
"HD 181720 b","Radial Velocity","La Silla Observatory",,,5781.00
"HD 181720 b","Radial Velocity","La Silla Observatory",,,5736.00
"HD 190647 b","Radial Velocity","La Silla Observatory",,,5656.00
"HD 190647 b","Radial Velocity","La Silla Observatory",,,5640.00
"HD 190647 b","Radial Velocity","La Silla Observatory",,,5628.00
"HD 190984 b","Radial Velocity","La Silla Observatory",,,5988.00
"HD 190984 b","Radial Velocity","La Silla Observatory",,,5988.00
"HD 192263 b","Radial Velocity","La Silla Observatory",,,
"HD 192263 b","Radial Velocity","La Silla Observatory",,,4995.00
"HD 192263 b","Radial Velocity","La Silla Observatory",,,
"HD 192263 b","Radial Velocity","La Silla Observatory",,,4998.15
"HD 192263 b","Radial Velocity","La Silla Observatory",,,4975.00
"HD 192263 b","Radial Velocity","La Silla Observatory",,,4996.00
"HD 192263 b","Radial Velocity","La Silla Observatory",,,4976.00
"HD 192263 b","Radial Velocity","La Silla Observatory",,486.00,
"HD 192310 b","Radial Velocity","La Silla Observatory",,355.00,5166.00
"HD 192310 b","Radial Velocity","La Silla Observatory",,,5144.00
"HD 192310 b","Radial Velocity","La Silla Observatory",,,5087.00
"HD 192310 b","Radial Velocity","La Silla Observatory",,,5181.11
"HD 192310 c","Radial Velocity","La Silla Observatory",,,5087.00
"HD 192310 c","Radial Velocity","La Silla Observatory",,185.00,5166.00
"HD 19994 b","Radial Velocity","La Silla Observatory",,,6188.00
"HD 19994 b","Radial Velocity","La Silla Observatory",,,6217.00
"HD 20003 b","Radial Velocity","La Silla Observatory",,,5494.00
"HD 20003 c","Radial Velocity","La Silla Observatory",,,5494.00
"HD 202206 c","Radial Velocity","La Silla Observatory",,,
"HD 202206 c","Radial Velocity","La Silla Observatory",,,
"HD 202206 c","Radial Velocity","La Silla Observatory",,,5766.00
"HD 204313 b","Radial Velocity","La Silla Observatory",,,5767.00
"HD 204313 b","Radial Velocity","La Silla Observatory",,,5783.00
"HD 204313 b","Radial Velocity","La Silla Observatory",,,5776.00
"HD 204313 b","Radial Velocity","La Silla Observatory",,,5760.00
"HD 204313 b","Radial Velocity","La Silla Observatory",,,
"HD 204313 b","Radial Velocity","La Silla Observatory",,,5767.00
"HD 204313 c","Radial Velocity","La Silla Observatory",,,5776.00
"HD 204313 c","Radial Velocity","La Silla Observatory",,,
"HD 204941 b","Radial Velocity","La Silla Observatory",,,5026.00
"HD 204941 b","Radial Velocity","La Silla Observatory",,,5056.00
"HD 20781 b","Radial Velocity","La Silla Observatory",,,5256.00
"HD 20781 c","Radial Velocity","La Silla Observatory",,,5256.00
"HD 20794 b","Radial Velocity","La Silla Observatory",,,5432.00
"HD 20794 b","Radial Velocity","La Silla Observatory",,,
"HD 20794 b","Radial Velocity","La Silla Observatory",,660.00,5401.00
"HD 20794 b","Radial Velocity","La Silla Observatory",,,5368.00
"HD 20794 d","Radial Velocity","La Silla Observatory",,,5432.00
"HD 20794 d","Radial Velocity","La Silla Observatory",,,
"HD 20794 d","Radial Velocity","La Silla Observatory",,,5368.00
"HD 20794 d","Radial Velocity","La Silla Observatory",,388.00,5401.00
"HD 20868 b","Radial Velocity","La Silla Observatory",,,4795.00
"HD 20868 b","Radial Velocity","La Silla Observatory",,,4802.00
